Name,Ingredient,images_link,likes,step,difficulty
[泡菜](https://icook.tw/recipes/404232),高麗菜，紅蘿蔔,https://tokyo-kitchen.icook.network/uploads/recipe/cover/404232/f8726d125011c99e.jpg,54,8,難
[涼拌小黃瓜](https://icook.tw/recipes/417246),小黃瓜,https://tokyo-kitchen.icook.network/uploads/recipe/cover/417246/ee3e161808af75f8.jpg,6,4,易
[打拋豬肉](https://icook.tw/recipes/414605),豬絞肉，辣椒，九層塔，四季豆 /敏豆,https://tokyo-kitchen.icook.network/uploads/recipe/cover/414605/7b855837ce2f5006.jpg,22,2,易
[泡菜](https://icook.tw/recipes/405356),高麗菜，紅蘿蔔,https://tokyo-kitchen.icook.network/uploads/recipe/cover/405356/624ac8d9dbb37292.jpg,15,6,中
[打拋菇](https://icook.tw/recipes/424977),杏鮑菇，番茄，九層塔，辣椒，金針菇,https://tokyo-kitchen.icook.network/uploads/recipe/cover/424977/04d9aec4b6eb5015.jpg,4,2,易
[熱狗麵包](https://icook.tw/recipes/407649),高筋麵粉，速發酵母，雞蛋，無鹽奶油，熱狗，青蔥,https://tokyo-kitchen.icook.network/uploads/recipe/cover/407649/73001681225f5b4f.jpg,30,17,難
[炒米粉](https://icook.tw/recipes/418278),新竹米粉，豬五花肉片，高麗菜，紅蘿蔔，美國芹菜，洋蔥，乾香菇，開陽,https://tokyo-kitchen.icook.network/uploads/recipe/cover/418278/39f700ef59ff3004.jpg,6,7,難
[鹽酥雞](https://icook.tw/recipes/412133),雞胸肉，九層塔，雞蛋，蘇打粉，地瓜粉，太白粉,https://tokyo-kitchen.icook.network/uploads/recipe/cover/412133/4e563ba6103986cd.jpg,31,7,難
[麻油豬心麵線湯](https://icook.tw/recipes/418380),豬心片，麵線，灼青菜,https://tokyo-kitchen.icook.network/uploads/recipe/cover/418380/e37a10185737bddf.jpg,1,7,難
[椒麻雞](https://icook.tw/recipes/412644),去骨雞腿，高麗菜，香菜，辣椒，小番茄,https://tokyo-kitchen.icook.network/uploads/recipe/cover/412644/1cad1820b8ebce13.jpg,14,7,難
[酸辣湯](https://icook.tw/recipes/414669),梅花豬肉絲，綠竹筍，木耳絲，紅蘿蔔絲，秀珍菇，嫩豆腐，雞蛋，金針菇，綠竹筍湯，鮮味炒手，日本太白粉,https://tokyo-kitchen.icook.network/uploads/recipe/cover/414669/7b35772ee85053f8.jpg,16,7,難
[野菇打拋豬肉](https://icook.tw/recipes/421508),豬絞肉，黑蠔菇，鴻喜菇，辣椒，九層塔,https://tokyo-kitchen.icook.network/uploads/recipe/cover/421508/5ea4769e4b69bb93.jpg,8,7,難
[炒寬麵](https://icook.tw/recipes/414222),寬麵，煎蛋，棗香鳳爪，玉米筍，小黃瓜，綠菜，洋蔥,https://tokyo-kitchen.icook.network/uploads/recipe/cover/414222/3eeedcec69f8c4af.jpg,3,5,中
[魷魚蔬菜煎餅](https://icook.tw/recipes/424070),韓國魷魚蔬菜煎餅,https://tokyo-kitchen.icook.network/uploads/recipe/cover/424070/7f8d58db0903ef00.jpg,3,5,中
[紅燒番茄牛](https://icook.tw/recipes/413030),牛腱肉或牛肋條，番茄，紅蘿蔔，洋蔥，滷包,https://tokyo-kitchen.icook.network/uploads/recipe/cover/413030/3de4109525ec5bcb.jpg,13,12,難
[打拋豬肉](https://icook.tw/recipes/393710),豬絞肉，中番茄，洋蔥，紅蘿蔔，香菇，九層塔，辣椒,https://tokyo-kitchen.icook.network/uploads/recipe/cover/393710/1dda8043840ab8c3.jpg,7,5,中
[打拋豬肉](https://icook.tw/recipes/419800),豬絞肉，牛番茄，九層塔,https://tokyo-kitchen.icook.network/uploads/recipe/cover/419800/c857accf57f12bed.jpg,21,4,易
[炒米粉](https://icook.tw/recipes/402960),米粉，紅蘿蔔，高麗菜，乾香菇，蝦米，豬肉,https://tokyo-kitchen.icook.network/uploads/recipe/cover/402960/a8bc7aaeece9ddb3.jpg,19,4,易
[豬排](https://icook.tw/recipes/399864),梅花豬里肌肉，高麗菜絲,https://tokyo-kitchen.icook.network/uploads/recipe/cover/399864/a560d15ab82471d1.jpg,24,4,易
[蝦仁炒麵](https://icook.tw/recipes/403481),關廟麵，乾香菇，高麗菜，乾魷魚，洋蔥，乾雲耳，鴻禧菇，豬五花肉片，蝦仁,https://tokyo-kitchen.icook.network/uploads/recipe/cover/403481/2ed5a86de07140da.jpg,8,5,中
[馬卡龍](https://icook.tw/recipes/425314),雞蛋，低筋麵粉，無鹽奶油，煉乳,https://tokyo-kitchen.icook.network/uploads/recipe/cover/425314/09105f5e298c00d8.jpg,206,17,難
[馬卡龍](https://icook.tw/recipes/408024),雞蛋，低筋麵粉，無鹽奶油,https://tokyo-kitchen.icook.network/uploads/recipe/cover/408024/6788990b735bf7cc.jpg,21,3,易
[打拋豬](https://icook.tw/recipes/407224),豬絞肉，蕃茄，打拋豬料理包，九層塔，鮮味炒手,https://tokyo-kitchen.icook.network/uploads/recipe/cover/407224/4e057b9b6556ee35.jpg,3,11,難
[泡菜](https://icook.tw/recipes/412220),高麗菜，紅蘿蔔，辣椒,https://tokyo-kitchen.icook.network/uploads/recipe/cover/412220/d4baf705ac26394a.jpg,31,5,中
[咖哩空心菜炒牛肉](https://icook.tw/recipes/412152),沙朗牛肉片，空心菜，太白粉,https://tokyo-kitchen.icook.network/uploads/recipe/cover/412152/1010dc1ac2adc403.jpg,18,6,中
[打拋豬](https://icook.tw/recipes/406971),豬絞肉，大番茄，小番茄，九層塔葉子,https://tokyo-kitchen.icook.network/uploads/recipe/cover/406971/3544cfac575feda1.jpg,26,1,易
[南瓜炒米粉](https://icook.tw/recipes/409787),米粉，紅蘿蔔，高麗菜，南瓜，辣椒，豬肉絲，乾香菇,https://tokyo-kitchen.icook.network/uploads/recipe/cover/409787/a58273cd7b1569a1.jpg,16,2,易
[沙茶豬肉炒高麗菜](https://icook.tw/recipes/414954),豬肉，高麗菜，辣椒,https://tokyo-kitchen.icook.network/uploads/recipe/cover/414954/b629aeb9a1af91d9.jpg,24,12,難
[泡菜&醃蘿蔔](https://icook.tw/recipes/407198),高麗菜，紅蘿蔔,https://tokyo-kitchen.icook.network/uploads/recipe/cover/407198/f098dfdd2dd576c3.jpg,42,2,易
[蔥香煎肉餅](https://icook.tw/recipes/419392),豬絞肉，青蔥，雞蛋,https://tokyo-kitchen.icook.network/uploads/recipe/cover/419392/d355ca3779b59a74.jpg,132,11,難
[糖醋魚片](https://icook.tw/recipes/423028),糖醋蔬菜，炸鯛魚片,https://tokyo-kitchen.icook.network/uploads/recipe/cover/423028/6490b621ac7da671.jpg,3,6,中
[酸辣豆腐](https://icook.tw/recipes/415921),凍豆腐，紅蘿蔔，黑木耳，A菜根，辣椒，木薯粉,https://tokyo-kitchen.icook.network/uploads/recipe/cover/415921/c775f98df76ebfdd.jpg,3,4,易
[白菜滷](https://icook.tw/recipes/426772),大白菜，炸豬皮，乾蝦米，木耳，紅蘿蔔，豬五花肉，乾香菇,https://tokyo-kitchen.icook.network/uploads/recipe/cover/426772/2c6d1f87183077b1.jpg,15,11,難
[炒麵](https://icook.tw/recipes/425670),油麵，雞蛋，豬絞肉，紅蘿蔔，高麗菜,https://tokyo-kitchen.icook.network/uploads/recipe/cover/425670/184c3b94b62be9cb.jpg,14,11,難
[打拋豬肉](https://icook.tw/recipes/406410),豬絞肉，洋蔥，小蕃茄，九層塔,https://tokyo-kitchen.icook.network/uploads/recipe/cover/406410/c86c6d67267e95fd.jpg,270,10,難
[椰蓉月餅](https://icook.tw/recipes/406343),奶粉，泡打粉，低粉，奶油，雞蛋，椰子粉，熟麵粉,https://tokyo-kitchen.icook.network/uploads/recipe/cover/406343/4023157801c773a8.jpg,7,20,難
[海鮮炒麵](https://icook.tw/recipes/422764),透抽，蛤蜊，蝦仁，高麗菜，紅蘿蔔，洋蔥，油麵,https://tokyo-kitchen.icook.network/uploads/recipe/cover/422764/7bb9f0312a2b8e07.jpg,89,17,難
[馬鈴薯燉牛肉](https://icook.tw/recipes/423026),牛五花肉，馬鈴薯燉肉蔬菜包,https://tokyo-kitchen.icook.network/uploads/recipe/cover/423026/afe95e0701269d62.jpg,3,7,難
[泡菜](https://icook.tw/recipes/396625),高麗菜，紅蘿蔔,https://tokyo-kitchen.icook.network/uploads/recipe/cover/396625/7279c72b2642df01.jpg,64,4,易
[紅燒牛肉麵](https://icook.tw/recipes/400088),牛腱肉，洋蔥，蕃茄，麵，青菜,https://tokyo-kitchen.icook.network/uploads/recipe/cover/400088/7c4710d6cdc2e0a7.jpg,13,3,易
[牛肉羅宋湯](https://icook.tw/recipes/400023),奶油，洋蔥，紅蘿蔔，牛肉，番茄，雞湯塊，馬鈴薯,https://tokyo-kitchen.icook.network/uploads/recipe/cover/400023/70308101368afab3.jpg,37,5,中
[通心麵](https://icook.tw/recipes/408215),豬絞肉，洋蔥，紅蘿蔔，包心白菜，通心麵,https://tokyo-kitchen.icook.network/uploads/recipe/cover/408215/8c000d08ced63758.jpg,11,10,難
[炸豬排骨](https://icook.tw/recipes/402071),豬排，雞蛋，地瓜粉,https://tokyo-kitchen.icook.network/uploads/recipe/cover/402071/9d2fef486f9ae5de.jpg,51,2,易
[醃香腸](https://icook.tw/recipes/405106),超市原味香腸，紅辣椒,https://tokyo-kitchen.icook.network/uploads/recipe/cover/405106/c8b7b8b3cede5188.jpg,6,6,中
[炸豬排骨 豬排骨菜飯](https://icook.tw/recipes/425279),豬里肌肉，低筋麵粉，番薯粉，雞蛋,https://tokyo-kitchen.icook.network/uploads/recipe/cover/425279/c02fa9c09d3be670.jpg,12,10,難
[蛋酥滷白菜](https://icook.tw/recipes/423029),蛋酥，紅蘿蔔，木耳，大白菜,https://tokyo-kitchen.icook.network/uploads/recipe/cover/423029/f3858fc5c05193c6.jpg,4,8,難
